Email,First name,Last name,Phone number,Website URL,Latest source date,Industrija,Annual revenue,St. zaposlenih,Company name,City,Postal code,Street address,St. prebivalcev,Fax number,Lead status,Lifecycle stage,Contact owner,Oddaljenost od mesta,Google my business,Ure na teden,Stran na google,Ocena,Search term,St. ocen
,,,40415443,https://www.facebook.com/pepermintHS,,Frizerski studio,,,Pepermint Hair Studio,Maribor,2000,Smetanova ulica 57,97019,,,,,2230,1,43,1,4.8,Maribor Frizerski studio,35
,,,41661861,https://www.frizercrispus.si/,,Frizerski studio,,,Crispus,Maribor,2000,Framska ulica 4,97019,,,,,416,1,60,1,4.8,Maribor Frizerski studio,94
,,,31426446,,,Frizerski studio,,,Frizerski studio 8  Marina Došlić s.p.,Maribor,2000,Na Griču 1,97019,,,,,107024,1,50,1,4.8,Maribor Frizerski studio,38
,,,31332659,,,Frizerski studio,,,Frizerstvo Mateja  frizerske storitve Mateja Bezjak, ,2000,Cesta XIV. divizije 25,97019,,,,,1231,0,,5,5,Maribor Frizerski studio,9
,,,23202022,,,Frizerski studio,,,Frizerski salon Lucija  Lucija Vajda s.p.,Maribor,2000,Jezdarska ulica 1,97019,,,,,1052,1,70,5,5,Maribor Frizerski studio,19
,,,51436982,,,Frizerski studio,,,Frizerski studio Aurelia  Kajtimira Knedl s.p.,Maribor,2000,Majeričeva ulica 3,97019,,,,,1434,1,57,5,5,Maribor Frizerski studio,5
,,,40755873,,,Frizerski studio,,,Frizerstvo Sanja Sanja Žgajner s.p.,Marbor,2000,Trgovinsko-stanovanjski kompleks,97019,,,,,,1,33,5,4.9,Maribor Frizerski studio,19
,,,70865869,,,Frizerski studio,,,FRIZERSKA HIŠA GLAMUR  Simona Kaučič s.p.,Maribor,2000,Radvanjska cesta 35,97019,,,,,1238,1,44,5,4.3,Maribor Frizerski studio,7
,,,22512572,http://www.rabim.info/frizerski-salon-in-trgovina-na-debelo-euro-las-tatjana-dolenc-sp-6965,,Frizerski studio,,,"Frizerski salon in trgovina na debelo ""Euro Las"" Tatjana Dolenc s.p.",Maribor,2000,Koroška cesta 7,97019,,,,,119301,1,54,5,4.6,Maribor Frizerski studio,18
,,,31663713,,,Frizerski studio,,,Petite salon  Jasna Rojko s.p. frizerske in kozmetične storitve,Maribor,2000,Poropatova ulica 20,97019,,,,,,0,,5,5,Maribor Frizerski studio,8
,,,40427861,,,Frizerski studio,,,Frizerstvo  Natalija Jerič s.p.,Maribor,2000,Borštnikova ulica 63,97019,,,,,2047,0,,5,5,Maribor Frizerski studio,9
,,,40780977,,,Frizerski studio,,,Nisa  frizerski salon Nives Breg s.p.,Maribor,2000,Ulica Staneta Severja 5 B,97019,,,,,1541,0,,5,5,Maribor Frizerski studio,8
,,,23314560,http://www.rabim.info/salon-danicafrizerska-dejavnost-danica-debevec-sp-15038,,Frizerski studio,,,Salon Danica-Frizerska Dejavnost Danica Debevec S.P.,Maribor,2000,Kardeljeva cesta 69,97019,,,,,1338,1,49,5,4.5,Maribor Frizerski studio,8
,,,23311330,https://www.galaktiko.com/,,Frizerski studio,,,Frizerski studio Galaktiko Dual Intrade,Maribor,2000,Studenška ulica 104,97019,,,,,3045,1,61,5,5,Maribor Frizerski studio,3
,,,24613898,,,Frizerski studio,,,Kava Bar Medo - Frizerski Salon Vesna Miran Novak S.P.,Maribor,2000,Ulica Rose Luxemburg 17,97019,,,,,3158,0,,5,4.9,Maribor Frizerski studio,16
,,,40418131,,,Frizerski studio,,,Frizerski Salon Darja,Maribor,2000,Pekrska cesta 56,97019,,,,,3201,1,40,5,4.4,Maribor Frizerski studio,10
,,,41581035,,,Frizerski studio,,,A studio frizerski salon  Aleksandra Jamnik s.p.,Maribor,2000,Gregorčičeva ulica 6,97019,,,,,104769,0,,5,5,Maribor Frizerski studio,4
,,,70919919,http://www.moja-dejavnost.si/frizerski-salon-maribor-tabor/rhc-frizerstvo-rok-hamer-cigit-sp/MM1KUW9N,,Frizerski studio,,,Rhc frizerstvo Rok Hamer Cigit s.p.,Maribor,2000,Taborska Ulica 2,97019,,,,,1124,0,,5,5,Maribor Frizerski studio,5
,,,41205827,,,Frizerski studio,,,Frizerski salon Pavokovič Damir s.p.,Maribor,2000,Koroška cesta 19,97019,,,,,104901,0,,5,4.9,Maribor Frizerski studio,11
,,,31817053,https://frizerstvo-tamara.si/,,Frizerski studio,,,Tamara Kaučič Obrulj  s.p.,Maribor,2000,Zrkovska cesta 73,97019,,,,,2109,1,59,5,4.6,Maribor Frizerski studio,7
,,,23318714,,,Frizerski studio,,,Žohar Lie s.p. - moško in žensko frizerstvo,Maribor,2000,Radvanjska cesta 88a,97019,,,,,1685,0,,5,4.8,Maribor Frizerski studio,17
,,,41296361,http://www.salon-vesna.si/,,Frizerski studio,,,Frizerski salon VESNA,cesta,Ptujska,Mercator center Jagoda,97019,,,,,283874,0,,5,5,Maribor Frizerski studio,7
,,,40185445,,,Frizerski studio,,,Frizerski studio Šajn  Patricia Vogrin s.p.,Maribor,2000,Sokolska ulica 44,97019,,,,,2684,0,,5,5,Maribor Frizerski studio,5
,,,,,,Frizerski studio,,,Frizerski studio Bianka  družba za frizerske storitve d.o.o.,Maribor,2000,Gregorčičeva ulica 27,97019,,,,,153203,1,65,7,5,Maribor Frizerski studio,1
,,,22233107,,,Frizerski studio,,,Frizerski Salon Valerija Pintar Valerija S.P.,Maribor,2000,Betnavska cesta 26,97019,,,,,921,0,,7,5,Maribor Frizerski studio,2
,,,22517864,,,Frizerski studio,,,Frizerski salon Sonja Sonja Tavčar s.p.,Maribor,2000,Ulica kneza Koclja 24,97019,,,,,1383,0,,7,5,Maribor Frizerski studio,1
,,,,,,Frizerski studio,,,Frizerski studio Naja  Mojca Kampl s.p.,Maribor,2000,Vrazova ulica 47,97019,,,,,1972,0,,7,5,Maribor Frizerski studio,3
,,,70481084,,,Frizerski studio,,,frizerski salon Strižnica,Maribor,2000,Borštnikova ulica 5,97019,,,,,2315,0,,7,5,Maribor Frizerski studio,1
,,,26407980,,,Frizerski studio,,,Frizerstvo Tami  Tamara Dolšak s.p.,Maribor,2000,Loška ulica 8,97019,,,,,1351,0,,7,5,Maribor Frizerski studio,4
,,,41774690,,,Frizerski studio,,,Frizirnica K  Maribor,Maribor,2000,Slovenska ulica 38,97019,,,,,1822,0,,7,5,Maribor Frizerski studio,1
,,,41804171,,,Frizerski studio,,,Frizerski studio d in gostinstvo  Darinka Vidovič s.p.,Maribor,2000,Razvanjska cesta 44,97019,,,,,3387,0,,7,5,Maribor Frizerski studio,3
,,,24712144,,,Frizerski studio,,,Frizerstvo ZOFKA  Zofija Kmetič s.p.,Maribor,2000,Čufarjeva cesta 9,97019,,,,,1852,1,45,7,4.5,Maribor Frizerski studio,2
,,,22527605,,,Frizerski studio,,,Frizerski studio Stanka Julija Dogša s.p.,Maribor,2000,Mlinska ulica 26,97019,,,,,56109,0,,7,,Maribor Frizerski studio,
,,,40831687,,,Frizerski studio,,,Como hiša Frizur Mateja Tomažič s.p.,Maribor,2000,Strossmayerjeva ulica 32a,97019,,,,,2065,1,40,7,5,Maribor Frizerski studio,3
,,,69919471,,,Frizerski studio,,,Betty Boop,Maribor,2000,Ljubljanska ulica 89,97019,,,,,1104,1,36,7,5,Maribor Frizerski studio,3
,,,51380532,,,Frizerski studio,,,Frizerski studio Zag  Bogomira Halič s.p.,Pesnica,2211,Dolnja Počehova 13 N,97019,,,,,2015,0,,7,5,Maribor Frizerski studio,6
,,,40789928,,,Frizerski studio,,,Extrem Studio,Maribor,2000,Žitna ulica 11,97019,,,,,6834,0,,7,5,Maribor Frizerski studio,1
,,,,,,Frizerski studio,,,Exess  frizerske in druge storitve d.o.o.,Maribor,2000,Prušnikova ulica 12,97019,,,,,1815,0,,7,5,Maribor Frizerski studio,2
,,,40699821,,,Frizerski studio,,,Frizerski salon Milena Dobaja Bezjak s.p.,Maribor,2000,Kramarjeva ulica 1,97019,,,,,3001,0,,7,4.8,Maribor Frizerski studio,4
,,,70842186,,,Frizerski studio,,,FRIZIRNICA M  Mojca Lobnik s.p.,Maribor,2000,Ljubljanska ulica 74,97019,,,,,774,1,44,7,5,Maribor Frizerski studio,3
,,,41331654,,,Frizerski studio,,,Frizerstvo Pika  Lepenik Polonca s.p.,Maribor,2000,Ulica Staneta Severja 5b,97019,,,,,1541,0,,7,5,Maribor Frizerski studio,1
,,,51308421,,,Frizerski studio,,,Frizerski studio Madonna  Jožica Petrič s.p.,Maribor,2000,Zagrebška c. 40,97019,,,,,1671,0,,7,5,Maribor Frizerski studio,1
,,,51672708,https://www.moja-dejavnost.si/barber-shop-maribor-podravska/don-boroja-barber-shop-maribor-luka-boroja-sp/MMxnSThNQR,,Frizerski studio,,,Frizerski salon  Luka Boroja s.p.,Maribor,2000,Tyrševa ulica 20,97019,,,,,2010,0,,7,5,Maribor Frizerski studio,4
,,,51606969,,,Frizerski studio,,,"Frizerski studio ""V NULO""",Limbuš,2341,Limbuška cesta 52,97019,,,,,10815379,1,52,8,4.6,Maribor Frizerski studio,20
,,,51256599,https://www.moja-dejavnost.si/ugoden-frizerski-salon-maribor/frizerske-storitve-marko-sef-sp/MM1qXV2y,,Frizerski studio,,,Frizerske storitve  Marko Šef s.p.,Maribor,2000,Partizanska cesta 36,97019,,,,,23564,0,,8,5,Maribor Frizerski studio,3
,,,70140550,,,Frizerski studio,,,Frizerski Salon TM,Maribor,2000,Ljubljanska ulica 95,97019,,,,,1154,0,,8,5,Maribor Frizerski studio,3
,,,40386244,,,Frizerski studio,,,Glejgor studio  frizerske storitve Gregor Gošnjak s.p.,Maribor,2000,Koroška cesta 105,97019,,,,,2358,0,,8,,Maribor Frizerski studio,
,,,70517151,https://www.facebook.com/profile.php?id=100086391396034,,Frizerski studio,,,Frizerski Studio Betty Boop,Maribor,2000,Cafova ulica 8,97019,,,,,17850,1,46,8,,Maribor Frizerski studio,
,,,22524640,,,Frizerski studio,,,Frizerski studio in Darja Prešeren s.p.,Maribor,2000,Ribniška ulica 4,97019,,,,,2390,0,,8,5,Maribor Frizerski studio,1
,,,31322866,,,Frizerski studio,,,Frizerstvo  frizerski studio Meli Style Melanie Korošak s.p.,Maribor,2000,Jadranska cesta 27,97019,,,,,1105,0,,8,,Maribor Frizerski studio,
,,,41511919,,,Frizerski studio,,,Orož Trauda S.P.-Frizerski studio T.I.M.,Maribor,2000,Jezdarska ulica 1,97019,,,,,,0,,8,,Maribor Frizerski studio,
,,,40424024,,,Frizerski studio,,,Lepotni studio Diosa,Maribor,2000,Lackova cesta 41,97019,,,,,3118,1,35,8,4.9,Maribor Frizerski studio,25
,,,41775929,,,Frizerski studio,,,Frizerski studio Shine Bojana Galić s.p.,Maribor,2000,Rezijanska ulica 23,97019,,,,,1104,0,,8,,Maribor Frizerski studio,
,,,40569056,,,Frizerski studio,,,Frizerski salon Nada  Nada Centner s.p.,Maribor,2000,Trg Dušana Kvedra 3,97019,,,,,1512,0,,8,,Maribor Frizerski studio,
,,,30373139,,,Frizerski studio,,,Frizerski studio Neni  Melita Heher s.p.,Maribor,2000,Svenškova ulica 4,97019,,,,,4766,0,,8,5,Maribor Frizerski studio,1
,,,40466976,,,Frizerski studio,,,Issa2 Rebeka Jagarinec S.P.  Frizerski Salon,Maribor,2000,Ulica Staneta Severja 5b,97019,,,,,1541,0,,8,1,Maribor Frizerski studio,1
,,,30291042,,,Frizerski studio,,,Aritmija  Oglaševalska agencija d.o.o.,Maribor,2000,Kraljeviča Marka ulica 19,97019,,,,,,0,,8,,Maribor Frizerski studio,
,,,,,,Frizerski studio,,,Frizerski salon  Darja Jug s.p.,Maribor,2000,Ljubljanska ulica 89,97019,,,,,1104,0,,8,,Maribor Frizerski studio,
,,,24201483,,,Frizerski studio,,,Frizerski salon Lidija Šikman s.p.,Maribor,2000,Borštnikova ulica 5,97019,,,,,2315,0,,8,3,Maribor Frizerski studio,1
,,,40204225,,,Frizerski studio,,,Frizerski Studio Anja  Anja Dolinar S.P.,Maribor,2000,Jezdarska ulica 22,97019,,,,,714,0,,8,,Maribor Frizerski studio,
,,,41259502,,,Frizerski studio,,,Nina Frizure  Frizerstvo Nina Pernek S.P.,Maribor,2000,Sernčeva ulica 11,97019,,,,,2554,0,,8,,Maribor Frizerski studio,
,,,40430491,,,Frizerski studio,,,Frizerski studio Uroš  Uroš Slana s.p.,Maribor,2000,Vrazova ulica 26,97019,,,,,1782,0,,8,,Maribor Frizerski studio,
,,,70919919,,,Frizerski studio,,,RHC Salon,Maribor,2000,Taborska Ulica,97019,,,,,45582,0,,8,,Maribor Frizerski studio,
,,,59184224,http://www.estela.si/,,Frizerski studio,,,Estela trgovina Celje,Celje,3000,Mariborska cesta 86,97019,,,,,39021,1,61,10,5,Maribor Frizerski studio,3
,,,40733569,,,Frizerski studio,,,Frizerski studio Laval  Lampreht Valerija s.p.,Maribor,2000,Borova vas 1,97019,,,,,2240,0,,10,,Maribor Frizerski studio,
,,,40891616,,,Frizerski studio,,,Frizerstvo Aleš  Aljoša Matjašič s.p.,Maribor,2000,Ulica Staneta Severja 5b,97019,,,,,1541,0,,10,,Maribor Frizerski studio,
,,,,,,Frizerski studio,,,Capillus  frizerske in druge storitve d.o.o.,Maribor,2000,Partizanska cesta 77,97019,,,,,129475,0,,10,5,Maribor Frizerski studio,1
,,,31588448,,,Frizerski studio,,,Oblika - priprava za tisk in frizerstvo  Tanja Novak s.p.,Maribor,2000,Ulica Veljka Vlahovića 69,97019,,,,,2186,0,,10,,Maribor Frizerski studio,
,,,40624005,http://www.rabim.info/vesna-miklavzic-sp-247911,,Frizerski studio,,,Frizerstvo Vesna Miklavžič s.p.,Maribor,2000,Smetanova ulica 57,97019,,,,,2230,0,,10,,Maribor Frizerski studio,
,,,23302780,http://www.simple.si/,,Frizerski salon,,,SIMPLE,Maribor,2000,Ulica Eve Lovše 1,97019,,,,,909,1,78,1,4.2,Maribor Frizerski salon,40
,,,40633201,,,Frizerski salon,,,Frizerski studio Queen  frizerske in kozmetične storitve d.o.o.,Maribor,2000,Metelkova ulica 36,97019,,,,,891,0,,1,5,Maribor Frizerski salon,5
,,,26209667,http://www.nkmaribor.com/shop/kje_smo.asp,,Frizerski salon,,,Frizerska Bajta,Maribor,2000,Ulica Eve Lovše 1,97019,,,,,909,1,85,1,4.7,Maribor Frizerski salon,26
,,,40882408,,,Frizerski salon,,,Frizerski salon Alenka  Alenka Brusin s.p.,Maribor,2000,Ulica Staneta Severja 3b,97019,,,,,1522,0,,1,5,Maribor Frizerski salon,1
,,,23315353,,,Frizerski salon,,,Kojc Berta s.p. salon Berta - žensko frizerstvo,Maribor,2000,Poštelska ulica 1,97019,,,,,459,1,65,1,3,Maribor Frizerski salon,2
,,,31442222,http://frizer.podkalvarijo.si/o-nas/,,Frizerski salon,,,Frizerski Studio Brigita Novak S.P. nimamo solarija,Maribor,2000,Mladinska ulica 54,97019,,,,,38414,0,,1,4.9,Maribor Frizerski salon,7
,,,51643713,http://www.moj-frizer.si/,,Frizerski salon,,,Moj-Frizer.Si Martin Grajfoner S.P.,Maribor,2000,Kardeljeva cesta 73a,97019,,,,,1354,0,,1,4.8,Maribor Frizerski salon,10
,,,40820935,,,Frizerski salon,,,Studio Lumino  frizerstvo Nina Škrabl s.p.,Maribor,2000,Regentova ulica 7,97019,,,,,538,0,,1,4.8,Maribor Frizerski salon,24
,,,23313009,,,Frizerski salon,,,Frizerski Studio Hair Eferl Darja S.P.,Maribor,2000,Frankolovska ulica 1,97019,,,,,483,0,,1,4.9,Maribor Frizerski salon,8
,,,40262138,,,Frizerski salon,,,Frizerski Studio 1 Nevenka Vnuk S.P.,Maribor,2000,Koroška cesta 54,97019,,,,,1906,0,,5,3.8,Maribor Frizerski salon,9
,,,22527818,,,Frizerski salon,,,Frizerski Studio Mateja - M Mule Mateja S.P.,Maribor,2000,Koroška cesta 105,97019,,,,,2358,0,,5,5,Maribor Frizerski salon,13
,,,23326520,,,Frizerski salon,,,Frizerski Studio Verosa d.o.o.,Maribor,2000,Ljubljanska ulica 74,97019,,,,,774,0,,5,4.9,Maribor Frizerski salon,17
,,,24206327,,,Frizerski salon,,,Frizerstvo Taja - žensko frizerstvo  Seidl Tatjana s.p.,Maribor,2000,Prušnikova ulica 42,97019,,,,,1970,0,,5,4.3,Maribor Frizerski salon,9
,,,30244254,,,Frizerski salon,,,Crystal  frizerstvo,Maribor,2000,Gosposka ulica 3,97019,,,,,46081,1,63.5,5,4.7,Maribor Frizerski salon,15
,,,31493888,http://frizerstvo-p-maribor.poi.place/,,Frizerski salon,,,Frizerstvo uf  Uroš Horvat s.p.,Maribor,2000,Ljubljanska ulica 136,97019,,,,,1651,0,,5,5,Maribor Frizerski salon,44
,,,,http://si.near-place.com/frizerski-salon-aloja-koroska-cesta-74-maribor,,Frizerski salon,,,Frizerski salon ALOJA,Maribor,2000,Koroška cesta 74,97019,,,,,2041,1,50,5,4.9,Maribor Frizerski salon,23
,,,30203680,http://mitja.biz/,,Frizerski salon,,,M-Grupe  frizerske storitve Sonja Jeglič s.p.,Maribor,2000,Na Poljanah 18,97019,,,,,1937,1,82,5,4.5,Maribor Frizerski salon,6
,,,41246194,,,Frizerski salon,,,Frizerski salon Petra  Petra Mesarič s.p.,Maribor,2000,Poštelska ulica 1,97019,,,,,459,1,36,5,4.4,Maribor Frizerski salon,7
,,,41770075,,,Frizerski salon,,,Frizerski Studio Marjetka Marjeta GreifonerS.P.,Maribor,2000,Prvomajska ulica 35,97019,,,,,44496,1,40,5,4.8,Maribor Frizerski salon,4
,,,40330967,,,Frizerski salon,,,Frizerski Studio Z Stil  Zoran Strnad S.P.,Maribor,2000,Jadranska cesta 27,97019,,,,,1105,0,,5,5,Maribor Frizerski salon,1
,,,31232565,,,Frizerski salon,,,Frizerstvo Jernej Valentin Labaš s.p.,Maribor,2000,Pod vinogradi 18,97019,,,,,4449,0,,5,4.7,Maribor Frizerski salon,18
,,,22500644,http://www.cutngo.eu/,,Frizerski salon,,,Frizerstva Marko Matjaž Cut¨N go Marko Matjaž s.p.,Maribor,2000,Grajski trg 8,97019,,,,,32804,1,61,5,4.1,Maribor Frizerski salon,35
,,,70686963,,,Frizerski salon,,,"Frizerski salon ""A"" Andreja Klepec s.p.",Maribor,2000,Prešernova ulica 10a,97019,,,,,115571,1,65,7,5,Maribor Frizerski salon,3
,,,41946266,https://frizerstvo-weis-natasa-lovric-sp.business.site/?utm_source=gmb&utm_medium=referral%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://www.facebook.com/Podalj%C5%A1evanje-trepalnic-Nata%C5%A1a-883806521643054%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://www.facebook.com/Perfect_Nail_Studio-589961518168473,,Frizerski salon,,,Frizerstvo Weis  Nataša Lovrič s.p.,Maribor,2000,Ulica bratov Greifov 5,97019,,,,,1017,1,38,7,4.6,Maribor Frizerski salon,50
,,,,,,Frizerski salon,,,Killer scissors  Danuša Vravnik s.p. frizerske storitve,Maribor,2000,Hočka ulica 14,97019,,,,,510,0,,8,,Maribor Frizerski salon,
,,,31300887,,,Frizerski salon,,,Frizerstvo  Lidija Herga S.P.,Maribor,2000,Partizanska cesta 73,97019,,,,,130627,0,,8,,Maribor Frizerski salon,
,,,70810558,,,Frizerski salon,,,Miloš.Hair,Maribor,2000,Lackova cesta 39a,97019,,,,,3021,1,46,8,4.9,Maribor Frizerski salon,27
,,,34926100,http://www.spaspace.si/proshop.html,,Frizerski salon,,,Zoran Hair Spa,Maribor,2000,Gosposka ulica 30,97019,,,,,1707,0,,8,,Maribor Frizerski salon,
,,,22522743,,,Frizerski salon,,,Frizerski studio Bi-Bi Biserka Mergeduš s.p.,Maribor,2000,V Zavoju 29,97019,,,,,3671,0,,8,4.9,Maribor Frizerski salon,19
,,,22526573,,,Frizerski salon,,,Frizerski studio in  Urška Canjko s.p.,Maribor,2000,Šentiljska cesta 27,97019,,,,,2733,0,,8,4.9,Maribor Frizerski salon,20
,,,,,,Frizerski salon,,,Merilyn Monroe,Maribor,2000,Dalmatinska ulica 33,97019,,,,,805,1,61,8,4.2,Maribor Frizerski salon,5
,,,23323806,,,Frizerski salon,,,Frizerski salon Metka Arnuš Metka s.p.,Maribor,2000,Radvanjska cesta 35,97019,,,,,1238,0,,8,,Maribor Frizerski salon,
,,,40841640,,,Frizerski salon,,,Frizerski salon Irena Petek s.p.,Maribor,2000,Ulica Staneta Severja 17,97019,,,,,1784,0,,8,,Maribor Frizerski salon,
,,,70395058,,,Frizerski salon,,,Frizerski salon Aida  Aida Habibović s.p.,Maribor,2000,Partizanska cesta 47,97019,,,,,60752,0,,8,5,Maribor Frizerski salon,20
,,,41828354,,,Frizerski salon,,,Frizerski salon Lapačo  Andreja Tovornik Talavera s.p.,Maribor,2000,Ljubljanska ulica 15b,97019,,,,,732,0,,8,,Maribor Frizerski salon,
,,,24711032,,,Frizerski salon,,,Frizerski salon Monika Prevorčič Monika s.p.,Maribor,2000,Istrska ulica 48,97019,,,,,1833,0,,8,,Maribor Frizerski salon,
,,,31408660,http://salon-urska.si/,,Frizerski salon,,,Salon Urška,Maribor,2000,Na terasi 7a,97019,,,,,,0,,8,4.8,Maribor Frizerski salon,17
,,,41949525,http://www.lamaya.si/,,Kozmeticni studio,,,Kozmetični salon La Maya,Maribor,2000,Kardeljeva cesta 73,97019,,,,,1354,1,65,1,4.7,Maribor Kozmeticni studio,53
,,,31374456,,,Kozmeticni studio,,,STUDIO DEA  Studio za nego sprostitev in lepoto d.o.o.,Maribor,2000,Betnavska cesta 8,97019,,,,,1001,0,,1,5,Maribor Kozmeticni studio,2
,,,71346285,https://www.facebook.com/studio.diosa/,,Kozmeticni studio,,,Diosa TiM Lepotni studio,Maribor,2000,Limbuška cesta 49,97019,,,,,2943,1,47,1,,Maribor Kozmeticni studio,
,,,41719684,http://www.beauty-nives.si/,,Kozmeticni studio,,,Kozmetični salon Beauty,Maribor,2000,Ljubljanska ulica 22,97019,,,,,692,1,36.5,1,4.7,Maribor Kozmeticni studio,22
,,,70284235,http://www.studio-soncek.si/,,Kozmeticni studio,,,STUDIO SONČEK TABOR,Maribor,2000,Rezijanska ulica 23,97019,,,,,1104,1,69,1,4.7,Maribor Kozmeticni studio,142
,,,70365120,http://www.studio-soncek.si/,,Kozmeticni studio,,,Studio Sonček Center,Maribor,2000,Prešernova ulica 12b,97019,,,,,104959,1,19,1,,Maribor Kozmeticni studio,
,,,40209961,http://www.moja-dejavnost.si/tecaj-nege-obraza-telesa-maribor/ksenija-pehlic-simoncic-sp/MMxuDoDl,,Kozmeticni studio,,,Beauty World  Visagiranje - ličenje Ksenija Pehlič Simončič s.p.,Maribor,2000,Titova cesta 63,97019,,,,,210,0,,1,,Maribor Kozmeticni studio,
,,,40422372,,,Kozmeticni studio,,,Lepotni Studio Bonita,Maribor,2000,Šentiljska cesta 37c,97019,,,,,2974,0,,1,5,Maribor Kozmeticni studio,1
,,,40161733,http://www.beautybar.si/,,Kozmeticni studio,,,Lepotni studio Beauty Bar by Iris,Maribor,2000,Osojnikova ulica 27,97019,,,,,1571,1,64,1,5,Maribor Kozmeticni studio,6
,,,40309955,http://anubis.si/,,Kozmeticni studio,,,Kozmetični salon Anubis  Anastasiia Granda s.p.,Maribor,2000,Razlagova ulica 9,97019,,,,,40903,0,,1,5,Maribor Kozmeticni studio,5
